time,black,white,total,empty,temperature,luminosity,albedo,regulation_error,control_temperature,temperature_advantage
725,0,899,899,1,7.824374813863606,1.4374999999999907,0.7496111111111111,14.675625186136394,69.59953536682914,32.42391018069275
726,0,899,899,1,10.396969381377591,1.4349999999999907,0.7496111111111111,12.103030618622409,69.4746430006561,34.87161238203369
727,0,900,900,0,12.601128449770734,1.4324999999999908,0.75,9.898871550229266,69.34953361636883,36.950662066139564
728,0,900,900,0,12.799985530333782,1.4299999999999908,0.75,9.700014469666218,69.22420645845168,37.02419198878546
729,0,900,900,0,12.381288215133386,1.4274999999999909,0.75,10.118711784866614,69.09866076743529,36.47994898256868
730,0,900,900,0,11.583666173064499,1.424999999999991,0.75,10.916333826935501,68.97289577987071,35.55656195293521
731,0,899,899,1,10.176246357900919,1.422499999999991,0.7496111111111111,12.323753642099081,68.84691072830172,34.023157086202644
732,0,899,899,1,9.269248091060964,1.419999999999991,0.7496111111111111,13.230751908939036,68.72070484123518,32.98995293229614
733,0,900,900,0,8.577330655583753,1.417499999999991,0.75,13.922669344416247,68.59427734311609,32.17160799869984
734,0,899,899,1,8.167935798082766,1.4149999999999912,0.7496111111111111,14.332064201917234,68.46762745429403,31.635563252376798
735,0,900,900,0,7.444446507023771,1.4124999999999912,0.75,15.05555349297623,68.34075439099807,30.78520089802184
736,0,899,899,1,6.949003868463239,1.4099999999999913,0.7496111111111111,15.55099613153676,68.21365736530785,30.162661233771093
737,0,900,900,0,6.357359285887975,1.4074999999999913,0.75,16.142640714112027,68.08633558512108,29.44369487100905
738,0,898,898,2,6.06768805268739,1.4049999999999914,0.7492222222222221,16.43231194731261,67.95878825412584,29.026476306813226
739,0,898,898,2,6.20903991417268,1.4024999999999914,0.7492222222222221,16.29096008582732,67.83101457177287,29.04005448594555
740,0,897,897,3,6.005489350594588,1.3999999999999915,0.7488333333333334,16.494510649405413,67.70301373324034,28.708503083834927
741,0,898,898,2,6.084616930698575,1.3974999999999915,0.7492222222222221,16.415383069301427,67.57478492940763,28.6594018601062
742,0,899,899,1,5.849725043118181,1.3949999999999916,0.7496111111111111,16.65027495688182,67.44632734682445,28.296052389942627
743,0,899,899,1,5.597783212483304,1.3924999999999916,0.7496111111111111,16.902216787516696,67.31764016767593,27.915423380159236
744,0,897,897,3,5.3722195393267365,1.3899999999999917,0.7488333333333332,17.127780460673264,67.18872256975726,27.560942109083996
745,0,895,895,5,5.229766407881359,1.3874999999999917,0.7480555555555555,17.270233592118643,67.05957372643608,27.28934013431744
746,0,898,898,2,5.023695845021033,1.3849999999999918,0.7492222222222221,17.47630415497897,66.93019280662665,26.95388865164768
747,0,893,893,7,5.345999684539623,1.3824999999999918,0.7472777777777776,17.154000315460376,66.8005789747526,27.14657865929222
748,0,893,893,7,5.302035938224131,1.379999999999992,0.7472777777777777,17.19796406177587,66.67073139071717,26.972767328941295
749,0,896,896,4,5.039801928766995,1.377499999999992,0.7484444444444444,17.460198071233005,66.54064920987042,26.580451138637418
750,0,896,896,4,4.948464636050385,1.374999999999992,0.7484444444444444,17.551535363949615,66.41033158297664,26.358796219027024
751,0,887,887,13,7.463807088403453,1.374999999999992,0.7449444444444442,15.036192911596547,66.27977765618006,28.74358474458351
752,0,895,895,5,10.052190795357914,1.374999999999992,0.7480555555555556,12.447809204642086,66.21450069278167,31.266691488139585
753,0,893,893,7,10.225782665022155,1.374999999999992,0.7472777777777777,12.274217334977845,66.18186221108222,31.407644876104374
754,0,897,897,3,9.927372355418562,1.374999999999992,0.7488333333333334,12.572627644581438,66.16554297023272,31.092915325651283
