case,replicate,required,repairers,failure_time,busy_area,capacity_time,queue_area
5,17,12,2,49495.85213430189,5777.56287849788,98991.70426860377,12.364611454966052
5,18,12,2,15366.650566528186,1893.82286663311,30733.30113305637,7.141472204024012
5,19,12,2,14711.880371655989,1710.5264067549388,29423.760743311977,8.876894751962165
5,20,12,2,8273.18963550508,959.7780538171769,16546.37927101016,2.6291653064509717
5,21,12,2,16930.47036627787,2067.2671964877372,33860.94073255574,7.012083002392046
5,22,12,2,6649.484119227494,828.8312078293228,13298.968238454989,3.64863905548043
5,23,12,2,413.62951328131584,54.28349361917502,827.2590265626317,2.4523111526514754
5,24,12,2,4420.582859386388,590.7437721504533,8841.165718772776,2.118726183841545
5,25,12,2,256.68412803282797,31.88735995916278,513.3682560656559,0.6247356393801056
5,26,12,2,3128.033349496301,444.8677347107944,6256.066698992602,3.1111376213627433
5,27,12,2,10499.54892642515,1286.8340983276287,20999.0978528503,3.609957490484817
5,28,12,2,19915.867068837983,2338.2075944297208,39831.734137675965,4.436092855227798
5,29,12,2,24668.695273489237,2941.9635372471444,49337.39054697847,8.162717308563288
5,30,12,2,23632.550853352703,2817.7228611610544,47265.101706705405,11.152106887307582
5,31,12,2,50794.42621685404,6276.486264638399,101588.85243370807,15.891924293497368
5,32,12,2,13869.974746878086,1764.2830802346307,27739.949493756172,3.915937454556684
5,33,12,2,28603.080922824305,3534.618263757897,57206.16184564861,8.971936170345543
5,34,12,2,80606.1073022303,9340.843150058194,161212.2146044606,22.14494336136704
5,35,12,2,6883.718995452478,808.0433056498335,13767.437990904957,3.6832486325202893
5,36,12,2,27921.4662056244,3265.075241720313,55842.9324112488,4.034351334640405
5,37,12,2,13040.210167654819,1510.506651903905,26080.420335309638,5.908206662292741
5,38,12,2,17844.063147477325,2243.135835876477,35688.12629495465,9.371735633285653
5,39,12,2,61806.930981555524,7459.204030847227,123613.86196311105,20.688773711155704
5,40,12,2,25075.600252071694,2966.2156027672836,50151.20050414339,7.40099096526194
6,1,20,2,186.56753941406828,39.41583098011267,373.13507882813656,0.11373173912514112
6,2,20,2,14225.301169321006,2857.5802507675085,28450.602338642013,28.645356807476503
6,3,20,2,109.19556332322341,14.034835979299594,218.39112664644682,0.05150640509853588
6,4,20,2,7365.780744753393,1448.5108066694384,14731.561489506787,8.01762932449256
6,5,20,2,1190.0227988950335,251.10012903101534,2380.045597790067,1.9494882549853685
6,6,20,2,1329.1021939896386,282.5210706814407,2658.2043879792773,2.8141647671976386
6,7,20,2,4917.4902122880985,1029.9942667345554,9834.980424576197,6.397699013557258
6,8,20,2,8707.732869223146,1738.6387705437714,17415.46573844629,14.156406714477612
6,9,20,2,1746.3797460546523,328.86666085330944,3492.7594921093046,1.0568568755325316
6,10,20,2,5027.423163221221,990.6161556806944,10054.846326442443,4.323564733557532
6,11,20,2,28.045140749778994,11.198812224541872,56.09028149955799,0.26132103409296903
6,12,20,2,4050.4138671836304,788.4809896698109,8100.827734367261,5.345549078223939
6,13,20,2,9364.889396218554,1888.2774396394457,18729.778792437108,10.767298671492455
6,14,20,2,4371.833927078633,872.9976661256825,8743.667854157266,6.5704560212263345
6,15,20,2,1504.5776963603514,293.93925664209394,3009.155392720703,1.4951080334081441
6,16,20,2,1648.3462292122686,365.66417810664115,3296.692458424537,2.8481214124301175
6,17,20,2,2909.554248808241,574.825622511175,5819.108497616482,2.570076013668995
6,18,20,2,1987.1579404064883,380.03731173896983,3974.3158808129765,3.096054465060436
6,19,20,2,13696.048973542811,2706.01208243061,27392.097947085622,21.39006464577409
6,20,20,2,9472.508616638825,1860.256900460034,18945.01723327765,15.274447525075631
6,21,20,2,8266.912251978385,1729.8394094362234,16533.82450395677,10.597846387003074
6,22,20,2,212.14830174644558,59.09929972953267,424.29660349289117,1.981474540177345
6,23,20,2,1326.612452690592,283.28176973167706,2653.224905381184,0.7936545989404493
6,24,20,2,719.3893251573016,89.84933186748638,1438.7786503146033,0.9650830211442099
6,25,20,2,10247.73943181968,1986.8225361102473,20495.47886363936,22.48165664156103
6,26,20,2,1826.1925117652047,328.0502157382459,3652.3850235304094,2.0081112042941527
6,27,20,2,1914.8097695737629,408.82682483907945,3829.6195391475258,1.6379586946940634
6,28,20,2,2124.4766631498383,434.93327166181876,4248.9533262996765,3.8477471296157546
6,29,20,2,6635.216359821754,1339.2520292844133,13270.432719643508,6.144718103906143
