t,S,I,R,N,Re
19.8,418.4301840841673,150.97237025574967,430.5974456600835,1000.0000000000005,0.8368603681683342
19.9,415.2899717134361,150.34605841605082,434.36396987051353,1000.0000000000005,0.8305799434268718
20.0,412.1864486018181,149.69897589882112,438.1145754993613,1000.0000000000005,0.8243728972036358
20.1,409.1195627168113,149.0316869921522,441.84875029103694,1000.0000000000005,0.8182391254336222
20.2,406.08924504898187,148.34475877172306,445.5659961792955,1000.0000000000005,0.8121784900979634
20.3,403.09541044168964,147.63876025588078,449.26582930243,1000.0000000000005,0.8061908208833789
20.4,400.1379581615369,146.91426180509077,452.94778003337274,1000.0000000000005,0.8002759163230735
20.5,397.2167721630487,146.17183484486503,456.6113929920867,1000.0000000000005,0.794433544326097
20.6,394.33172195743015,145.41205091788137,460.25622712468885,1000.0000000000003,0.78866344391486
20.7,391.48266330936735,144.6354810341608,463.8818556564723,1000.0000000000005,0.7829653266187343
20.8,388.66943893779,143.84269500967912,467.48786605253133,1000.0000000000005,0.7773388778755796
20.9,385.891878687828,143.0342613046444,471.073860007528,1000.0000000000005,0.7717837573756556
21.0,383.1498003655638,142.21074620793487,474.63945342650175,1000.0000000000005,0.7662996007311272
21.1,380.44301034102733,141.3727133158958,478.18427634307733,1000.0000000000005,0.7608860206820544
21.2,377.7713043152732,140.52072288844263,481.7079727962846,1000.0000000000005,0.755542608630546
21.3,375.1344674492523,139.6553317400061,485.21020081074204,1000.0000000000005,0.7502689348985043
21.4,372.53227510306556,138.77709259868203,488.69063229825286,1000.0000000000005,0.7450645502061308
21.5,369.9644933760148,137.88655367377748,492.1489529502081,1000.0000000000005,0.7399289867520292
21.6,367.4308798786879,136.98425808735425,495.5848620339583,1000.0000000000005,0.7348617597573754
21.7,364.9311838574935,136.070743779952,498.9980723625549,1000.0000000000005,0.7298623677149867
21.8,362.46514680774374,135.14654304722856,502.38831014502813,1000.0000000000005,0.7249302936154871
21.9,360.0325029709098,134.2121821767336,505.7553148523571,1000.0000000000005,0.7200650059418192
22.0,357.632980061307,133.26818098958893,509.09883894910456,1000.0000000000005,0.7152659601226137
22.1,355.2662994117266,132.31505274425973,512.4186478440141,1000.0000000000005,0.7105325988234529
22.2,352.9321764511674,131.35330383097232,515.7145197178608,1000.0000000000005,0.7058643529023344
22.3,350.63032117312173,130.38343346931475,518.986245357564,1000.0000000000005,0.7012606423462432
22.4,348.36043877855025,129.4059333745831,522.2336278468671,1000.0000000000005,0.6967208775571002
22.5,346.1222298575183,128.42128765750164,525.4564824849806,1000.0000000000005,0.6922444597150362
22.6,343.91539073403925,127.42997264670097,528.6546366192603,1000.0000000000005,0.6878307814680782
22.7,341.73961391760736,126.43245664440296,531.8279294379902,1000.0000000000005,0.6834792278352144
22.8,339.59458863399186,125.42919971579742,534.9762116502112,1000.0000000000005,0.6791891772679834
22.9,337.4800010510733,124.42065359212475,538.0993453568025,1000.0000000000006,0.6749600021021462
23.0,335.39553449946067,123.40726158729237,541.1972039132476,1000.0000000000006,0.6707910689989209
23.1,333.3408699179061,122.38945841455029,544.2696716675441,1000.0000000000005,0.6666817398358119
23.2,331.3156862531125,121.36767008245569,547.3166436644324,1000.0000000000006,0.6626313725062246
23.3,329.3196607290099,120.34231381675362,550.338025454237,1000.0000000000006,0.6586393214580194
23.4,327.35246897479107,119.31379803197052,553.333732993239,1000.0000000000006,0.6547049379495817
23.5,325.4137854340076,118.28252222513888,556.3036923408541,1000.0000000000006,0.6508275708680148
23.6,323.50328366219566,117.24887694175214,559.2478393960528,1000.0000000000006,0.647006567324391
23.7,321.62063661563417,116.21324373927568,562.1661196450907,1000.0000000000006,0.643241273231268
23.8,319.76551672240936,115.17599518383615,565.0584880937552,1000.0000000000007,0.6395310334448183
23.9,317.93759622736036,114.13749482254347,567.9249089500968,1000.0000000000007,0.6358751924547202
24.0,316.13654741949046,113.098097192326,570.7653553881842,1000.0000000000007,0.6322730948389805
24.1,314.3620429158356,112.0581478400017,573.5798092441634,1000.0000000000007,0.6287240858316708
24.2,312.6137557047792,111.01798332781459,576.3682609674069,1000.0000000000007,0.6252275114095579
24.3,310.89135941242887,109.97793127061199,579.1307093169597,1000.0000000000006,0.6217827188248574
24.4,309.1945284834738,108.93831037265895,581.867161143868,1000.0000000000007,0.6183890569669471
24.5,307.522938439506,107.89943050892319,584.5776310515714,1000.0000000000006,0.6150458768790117
24.6,305.8762659184125,106.86159273682067,587.2621413447674,1000.0000000000007,0.6117525318368247
24.7,304.25418885637185,105.82508937261903,589.9207217710098,1000.0000000000007,0.6085083777127432
24.8,302.65638664311757,104.7902040535794,592.5534093033037,1000.0000000000007,0.6053127732862348
24.9,301.0825403332427,103.75721187082938,595.1602477959285,1000.0000000000007,0.602165080666485
25.0,299.53233270208773,102.72637940112443,597.7412878967885,1000.0000000000007,0.599064665404175
25.1,298.0054483419316,101.69796478292518,600.2965868751439,1000.0000000000007,0.5960108966838628
25.2,296.5015738161427,100.67221782435531,602.8262083595027,1000.0000000000007,0.593003147632285
25.3,295.0203977966687,99.64938014836123,605.3302220549708,1000.0000000000007,0.590040795593337
25.4,293.56161115025867,98.62968527728553,607.8087035724565,1000.0000000000007,0.587123222300517
25.5,292.12490697067176,97.61335867500706,610.2617343543219,1000.0000000000007,0.5842498139413431
25.6,290.70998071942336,96.60061791275793,612.6894013678194,1000.0000000000007,0.5814199614388463
25.7,289.31653030113887,95.59167278618693,615.0917969126749,1000.0000000000007,0.5786330606022774
25.8,287.94425616518714,94.58672547857745,617.4690183562361,1000.0000000000007,0.5758885123303739
25.9,286.59286131544303,93.5859705785967,619.821168105961,1000.0000000000007,0.5731857226308856
26.0,285.26205140022864,92.58959525338923,622.1483533463828,1000.0000000000007,0.5705241028004568
26.1,283.9515347695759,91.59777935694457,624.4506858734802,1000.0000000000007,0.5679030695391515
26.2,282.6610225563996,90.61069564794836,626.7282817956527,1000.0000000000007,0.5653220451127988
26.3,281.39022869443687,89.62850983343498,628.9812614721288,1000.0000000000007,0.5627804573888734
26.4,280.1388699477839,88.65138066530763,631.2097493869092,1000.0000000000007,0.5602777398955675
26.5,278.90666597709003,87.67946012434513,633.4138738985655,1000.0000000000007,0.5578133319541797
26.6,277.69333937142744,86.71289357883182,635.5937670497415,1000.0000000000007,0.5553866787428545
26.7,276.4986156832984,85.75181993742785,637.7495643792745,1000.0000000000007,0.5529972313665964
26.8,275.3222234313467,84.79637166645286,639.8814049022012,1000.0000000000007,0.550644446862693
26.9,274.16389414022854,83.84667500110072,641.9894308586714,1000.0000000000007,0.5483277882804567
27.0,273.0233623604092,82.90285004658273,644.0737875930088,1000.0000000000007,0.5460467247208179
27.1,271.900365688502,81.96501102003575,646.134623291463,1000.0000000000007,0.5438007313770037
27.2,270.79464477233137,81.033266295131,648.1720889325384,1000.0000000000007,0.5415892895446623
27.3,269.70594331525507,80.10771847498688,650.1863382097587,1000.0000000000007,0.5394118866305098
27.4,268.63400809897195,79.18846461492939,652.1775272860993,1000.0000000000007,0.5372680161979435
27.5,267.5785889813034,78.27559633456465,654.1458146841326,1000.0000000000007,0.5351571779626065
27.6,266.5394388952429,77.36920002730699,656.0913610774508,1000.0000000000007,0.5330788777904854
27.7,265.5163138491179,76.46935686732736,658.0143292835554,1000.0000000000007,0.5310326276982354
27.8,264.50897292364306,75.57614295260726,659.9148841237503,1000.0000000000007,0.5290179458472858
27.9,263.5171782789398,74.68962946504207,661.7931922560189,1000.0000000000007,0.5270343565578792
28.0,262.5406951339102,73.80988283786712,663.6494220282234,1000.0000000000007,0.5250813902678201
28.1,261.5792917537658,72.93696490696918,665.4837433392657,1000.0000000000007,0.5231585835075312
28.2,260.632739449945,72.0709329115532,667.2963276385025,1000.0000000000007,0.5212654788998896
28.3,259.70081256414466,71.2118396691184,669.0873477667376,1000.0000000000007,0.5194016251282889
28.4,258.78328846878867,70.35973369285423,670.8569778383578,1000.0000000000007,0.517566576937577
28.5,257.8799475295971,69.51465937876215,672.6053930916414,1000.0000000000007,0.5157598950591938
28.6,256.99057308532906,68.67665713577458,674.332769778897,1000.0000000000007,0.5139811461706578
28.7,256.1149514477826,67.8457633857547,676.0392851664634,1000.0000000000007,0.5122299028955648
28.8,255.25287187919125,67.02201070576628,677.7251174150431,1000.0000000000007,0.5105057437583821
28.9,254.40412658079623,66.20542798261162,679.3904454365928,1000.0000000000007,0.5088082531615921
29.0,253.56851065662605,65.39604053204604,681.0354488113286,1000.0000000000007,0.5071370213132518
29.1,252.74582207428034,64.59387027201801,682.6603076537023,1000.0000000000007,0.5054916441485603
29.2,251.9358616648842,63.798935722902954,684.2652026122136,1000.0000000000007,0.503871723329768
29.3,251.13843310981463,63.011252066212954,685.850314823973,1000.0000000000006,0.502276866219629
29.4,250.35334289908036,62.23083138395797,687.4158257169622,1000.0000000000006,0.5007066857981605
29.5,249.58040032591114,61.45768266382413,688.9619170102653,1000.0000000000006,0.499160800651822
29.6,248.81941741483624,60.691812033767775,690.4887705513966,1000.0000000000006,0.4976388348296722
29.7,248.07020891690422,59.93322277990575,691.9965683031907,1000.0000000000007,0.4961404178338081
29.8,247.3325923084762,59.181915350583985,693.4854923409404,1000.0000000000006,0.4946651846169521
29.9,246.60638773926541,58.43788755843006,694.955724702305,1000.0000000000005,0.4932127754785306
30.0,245.8914180313404,57.70113462771531,696.4074473409448,1000.0000000000006,0.49178283606268053
30.1,245.18750861073647,56.97164935521573,697.8408420340484,1000.0000000000006,0.49037501722147264
