t,prey,predator,dprey_dt,dpredator_dt,prey_pct_change,predator_pct_change,invariant
125.3,17.80584811625484,4.589266260582404,0.14626925160582216,-0.5596220981648902,0.821467478835192,-12.194151883745157,-0.7463862939056923
125.4,17.82147389883959,4.533678544320383,0.16621071301726387,-0.5521352248627671,0.932642911359236,-12.17852610116041,-0.7463862938893896
125.5,17.83908321637544,4.478838560901062,0.18594084562503865,-0.5446678302640658,1.0423228781978757,-12.160916783624556,-0.7463862939043536
125.6,17.858655242847753,4.424744195087792,0.20546590192748027,-0.5372234473476899,1.1505116098244166,-12.141344757152245,-0.7463862939247329
125.7,17.880169770239146,4.37139298806861,0.22479200184192005,-0.5298054088295856,1.2572140238627807,-12.11983022976085,-0.7463862939288277
125.8,17.903607207694154,4.318782138644224,0.2439251402515854,-0.5224168513343521,1.3624357227115522,-12.096392792305846,-0.7463862939243724
125.9,17.92894855230973,4.2669085486210845,0.26287117831821294,-0.5150607261299452,1.466182902757831,-12.071051447690268,-0.7463862939034904
126.0,17.956175391189447,4.215768825621348,0.2816358502876313,-0.5077398032707476,1.5684623487573053,-12.043824608810556,-0.7463862938971593
126.1,17.985269869955488,4.165359318047262,0.3002247581872737,-0.5004566810100408,1.6692813639054764,-12.014730130044509,-0.746386293907651
126.2,18.016214678084904,4.115676134147457,0.3186433722430675,-0.4932137924615255,1.7686477317050864,-11.983785321915093,-0.7463862939192322
126.3,18.04899304890959,4.066715142016966,0.3368970382877674,-0.4860134093034938,1.86656971596607,-11.95100695109041,-0.7463862939250028
126.4,18.083588756145744,4.018471973882478,0.3549909835388152,-0.47885764612686355,1.9630560522350455,-11.916411243854252,-0.7463862939231457
126.5,18.119986081518288,3.9709420701356657,0.3729303073243553,-0.4717484706269629,2.058115859728669,-11.88001391848171,-0.7463862939092212
126.6,18.158169824001998,3.924120669822804,0.39071999174982097,-0.4646877056216516,2.1517586603543926,-11.841830175997998,-0.7463862939037695
126.7,18.198125262328084,3.878002848580233,0.408364894110244,-0.45767703851278774,2.243994302839533,-11.801874737671914,-0.7463862939058277
126.8,18.239838147024955,3.8325835276494673,0.4258697501168911,-0.4507180260020378,2.3348329447010663,-11.760161852975042,-0.7463862939118833
126.9,18.28329470041825,3.787857473877148,0.4432391804802709,-0.44381209738236715,2.424285052245706,-11.716705299581749,-0.7463862939220968
127.0,18.328481613151602,3.7438193033614007,0.4604776960227308,-0.4369605583622054,2.5123613932771987,-11.671518386848396,-0.7463862939247832
127.1,18.375386011439776,3.700463519058186,0.47758968946507774,-0.4301645998780058,2.5990729618836284,-11.624613988560224,-0.7463862939180009
127.2,18.423995469597823,3.65778449931401,0.49457944607725324,-0.42342529935293827,2.6844310013719808,-11.576004530402173,-0.746386293911415
