time,transition,failed,working,spares,busy_repairers,repair_queue
886.7357442894662,machine_failure,1,10,2,1,0
886.9418934533365,interval_end,1,10,2,1,0
886.9418934533365,repair_complete,0,10,3,0,0
892.9505800180953,interval_end,0,10,3,0,0
892.9505800180953,machine_failure,1,10,2,1,0
894.8609121467377,interval_end,1,10,2,1,0
894.8609121467377,repair_complete,0,10,3,0,0
970.0892798015229,interval_end,0,10,3,0,0
970.0892798015229,machine_failure,1,10,2,1,0
970.2204952407003,interval_end,1,10,2,1,0
970.2204952407003,machine_failure,2,10,1,1,1
971.8561542152421,interval_end,2,10,1,1,1
971.8561542152421,repair_complete,1,10,2,1,0
971.9118461643304,interval_end,1,10,2,1,0
971.9118461643304,machine_failure,2,10,1,1,1
973.5970006240015,interval_end,2,10,1,1,1
973.5970006240015,repair_complete,1,10,2,1,0
973.6611045889304,interval_end,1,10,2,1,0
973.6611045889304,repair_complete,0,10,3,0,0
979.5149573192801,interval_end,0,10,3,0,0
979.5149573192801,machine_failure,1,10,2,1,0
980.8020039275917,interval_end,1,10,2,1,0
980.8020039275917,repair_complete,0,10,3,0,0
992.3360850378241,interval_end,0,10,3,0,0
992.3360850378241,machine_failure,1,10,2,1,0
992.5225083712774,interval_end,1,10,2,1,0
992.5225083712774,repair_complete,0,10,3,0,0
993.2253888267668,interval_end,0,10,3,0,0
993.2253888267668,machine_failure,1,10,2,1,0
994.6022958825511,interval_end,1,10,2,1,0
994.6022958825511,repair_complete,0,10,3,0,0
1002.639331964146,interval_end,0,10,3,0,0
1002.639331964146,machine_failure,1,10,2,1,0
1004.0904245332799,interval_end,1,10,2,1,0
1004.0904245332799,repair_complete,0,10,3,0,0
1016.5698722287466,interval_end,0,10,3,0,0
1016.5698722287466,machine_failure,1,10,2,1,0
1018.1713167328704,interval_end,1,10,2,1,0
1018.1713167328704,repair_complete,0,10,3,0,0
1025.949261561958,interval_end,0,10,3,0,0
1025.949261561958,machine_failure,1,10,2,1,0
1026.22670539473,interval_end,1,10,2,1,0
1026.22670539473,repair_complete,0,10,3,0,0
1030.8511927504649,interval_end,0,10,3,0,0
1030.8511927504649,machine_failure,1,10,2,1,0
1031.7630465391062,interval_end,1,10,2,1,0
1031.7630465391062,repair_complete,0,10,3,0,0
1032.1400881222114,interval_end,0,10,3,0,0
1032.1400881222114,machine_failure,1,10,2,1,0
1033.2612903447862,interval_end,1,10,2,1,0
1033.2612903447862,repair_complete,0,10,3,0,0
1059.7352032486788,interval_end,0,10,3,0,0
1059.7352032486788,machine_failure,1,10,2,1,0
1059.981972205009,interval_end,1,10,2,1,0
1059.981972205009,repair_complete,0,10,3,0,0
1077.0967146471958,interval_end,0,10,3,0,0
1077.0967146471958,machine_failure,1,10,2,1,0
1077.0993826977312,interval_end,1,10,2,1,0
1077.0993826977312,repair_complete,0,10,3,0,0
1085.4782108456402,interval_end,0,10,3,0,0
1085.4782108456402,machine_failure,1,10,2,1,0
1085.6440303441457,interval_end,1,10,2,1,0
1085.6440303441457,repair_complete,0,10,3,0,0
1089.3888796407434,interval_end,0,10,3,0,0
1089.3888796407434,machine_failure,1,10,2,1,0
1089.4116996556063,interval_end,1,10,2,1,0
1089.4116996556063,repair_complete,0,10,3,0,0
1122.8596972937107,interval_end,0,10,3,0,0
1122.8596972937107,machine_failure,1,10,2,1,0
1123.0493549076264,interval_end,1,10,2,1,0
1123.0493549076264,repair_complete,0,10,3,0,0
1127.302723700557,interval_end,0,10,3,0,0
1127.302723700557,machine_failure,1,10,2,1,0
1127.9294992383504,interval_end,1,10,2,1,0
1127.9294992383504,repair_complete,0,10,3,0,0
1141.8878960830202,interval_end,0,10,3,0,0
1141.8878960830202,machine_failure,1,10,2,1,0
1141.9513446240928,interval_end,1,10,2,1,0
1141.9513446240928,machine_failure,2,10,1,1,1
1145.3264705270162,interval_end,2,10,1,1,1
1145.3264705270162,repair_complete,1,10,2,1,0
1146.6458768990497,interval_end,1,10,2,1,0
1146.6458768990497,repair_complete,0,10,3,0,0
1169.428497842893,interval_end,0,10,3,0,0
1169.428497842893,machine_failure,1,10,2,1,0
1170.2581042207519,interval_end,1,10,2,1,0
1170.2581042207519,repair_complete,0,10,3,0,0
1195.0440792536797,interval_end,0,10,3,0,0
1195.0440792536797,machine_failure,1,10,2,1,0
1196.445055092525,interval_end,1,10,2,1,0
1196.445055092525,repair_complete,0,10,3,0,0
1202.269052116869,interval_end,0,10,3,0,0
1202.269052116869,machine_failure,1,10,2,1,0
1203.2978335175642,interval_end,1,10,2,1,0
1203.2978335175642,repair_complete,0,10,3,0,0
1216.4857804779285,interval_end,0,10,3,0,0
1216.4857804779285,machine_failure,1,10,2,1,0
1218.472629053155,interval_end,1,10,2,1,0
1218.472629053155,repair_complete,0,10,3,0,0
1221.6165592103137,interval_end,0,10,3,0,0
1221.6165592103137,machine_failure,1,10,2,1,0
1222.5710203819383,interval_end,1,10,2,1,0
1222.5710203819383,repair_complete,0,10,3,0,0
1249.4664783053213,interval_end,0,10,3,0,0
1249.4664783053213,machine_failure,1,10,2,1,0
1249.5415656292319,interval_end,1,10,2,1,0
1249.5415656292319,repair_complete,0,10,3,0,0
1261.654304657776,interval_end,0,10,3,0,0
1261.654304657776,machine_failure,1,10,2,1,0
1262.2790540360884,interval_end,1,10,2,1,0
1262.2790540360884,repair_complete,0,10,3,0,0
1293.2828928700437,interval_end,0,10,3,0,0
1293.2828928700437,machine_failure,1,10,2,1,0
1294.0316637943838,interval_end,1,10,2,1,0
1294.0316637943838,repair_complete,0,10,3,0,0
1295.6454228339808,interval_end,0,10,3,0,0
